Image	Valence	Arousal	Time
Sn093.bmp	37.906	51.836	1771
P064.bmp	93.784	12.966	2383
Sn009.bmp	50.303	55.223	2755
A027.bmp	14.332	59.137	1010
N081.bmp	50.247	23.782	503
Sn111.bmp	50.936	48.873	2630
H001.bmp	58.107	41.844	2615
A007.bmp	9.945	80.94	1036
P018.bmp	87.821	23.29	769
P077.bmp	93.077	26.78	1314
Sp034.bmp	35.625	55.613	477
P114.bmp	95.97	28.742	206
A041.bmp	1.354	83.041	2873
H034.bmp	6.758	78.315	692
N035.bmp	54.51	18.36	834
P035.bmp	97.231	21.848	809
P072.bmp	92.978	19.134	2843
N089.bmp	50.168	13.26	320
N004.bmp	40.953	40.422	288
N105.bmp	61.819	25.901	1233
H015.bmp	30.109	53.259	158
A069.bmp	15.834	63.027	1781
Sp033.bmp	36.373	58.314	2698
H022.bmp	0.72	92.402	2221
H064.bmp	8.839	80.739	2837
N061.bmp	49.541	10.674	2908
P008.bmp	92.302	15.109	1189
N017.bmp	68.63	14.291	1371
H019.bmp	22.394	70.389	1933
H036.bmp	9.221	83.398	2081
P066.bmp	93.019	9.359	772
Sp011.bmp	31.18	64.414	2691
Sn078.bmp	41.842	61.258	532
Sp020.bmp	29.917	64.457	1177
A011.bmp	15.314	65.202	1736
P061.bmp	90.642	20.871	1029
A064.bmp	34.857	61.277	1285
H037.bmp	8.019	82.656	1375
P022.bmp	90.833	24.441	1720
Sn100.bmp	27.327	66.7	485
A039.bmp	46.592	50.394	2441
A040.bmp	13.283	63.131	2091
Sp003.bmp	32.136	64.065	2091
H035.bmp	19.757	66.382	2500
N097.bmp	52.912	22.261	1978
A058.bmp	23.977	62.866	1024
N009.bmp	62.174	15.005	1268
N040.bmp	54.189	29.566	147
A042.bmp	15.551	66.332	568
H005.bmp	2.377	72.751	1729
