Image	Valence	Arousal
A007.jpg	9.945	80.940
A011.jpg	15.314	65.202
A027.jpg	14.332	59.137
A039.jpg	46.592	50.394
A040.jpg	13.283	63.131
A041.bmp	1.354	83.041
A042.jpg	15.551	66.332
A058.jpg	23.977	62.866
A064.jpg	34.857	61.277
A069.jpg	15.834	63.027
H001.jpg	58.107	41.844
H005.jpg	2.377	72.751
H015.jpg	30.109	53.259
H019.jpg	22.394	70.389
H022.jpg	0.720	92.402
H034.jpg	6.758	78.315
H035.jpg	19.757	66.382
H036.jpg	9.221	83.398
H037.jpg	8.019	82.656
H064.jpg	8.839	80.739
N004.jpg	40.953	40.422
N009.jpg	62.174	15.005
N017.jpg	68.630	14.291
N035.jpg	54.510	18.360
N040.jpg	54.189	29.566
N061.jpg	49.541	10.674
